DENOM_SOCIAL,CNPJ,DT_COMPTC,VL_PL,ADMIN,gestor
AEDGER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,57377862000155,2025-12-31,61470952.09,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
ZANDVOORT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,57679175000194,2025-12-31,57496447.06,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
OTTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53247140000125,2025-12-31,55999997.38,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
ALENTEJO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42084488000122,2025-12-31,41838420.01,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
MUFFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS,43740863000108,2025-12-31,40946946.89,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
REAG MASTER FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41776150000179,2025-12-31,32881457.3,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG SPECIALTY FINANCE LTDA.
ENGELBERG 41 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,43809891000134,2025-12-31,25387462.45,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
VIVACE SHOPPING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60707793000105,2025-12-31,15033896.55,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
EC CAPITAL MARKETS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60395009000170,2025-12-31,13448430.79,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
LC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,59035976000142,2025-12-31,10922165.52,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
SMASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,58528148000183,2025-12-31,9149062.58,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
FASHION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESP ILIMITADA,53848229000147,2025-12-31,8349369.69,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
HORTÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56052655000168,2025-12-31,5948237.01,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
KOMBI AZUL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,53323851000131,2025-12-31,2659940.34,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
REAG FUNDO DE INVESTIMENTOS NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DIREITOS CREDITÓRIOS,49637238000111,2025-12-31,1625372.29,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.
KOLEOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55201186000139,2025-12-31,81974.76,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
SIMBA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41776050000142,2025-12-31,67411.05,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
MOBILIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,61890598000126,2025-12-31,52040.22,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG SPECIALTY FINANCE LTDA.
CEDRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,61471945000186,2025-12-31,0.0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
HAKKINEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57270081000167,2025-12-31,0.0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
AUER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62184290000128,2025-12-31,-35442.08,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
REAG SPORTAINMENT CLAIMS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,52842504000152,2025-12-31,-70949.05,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,KUMB INVEST S.A.
RR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,58528925000190,2025-12-31,-236746.12,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53263761000100,2026-06-30,8458862801.73,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,34081900000122,2026-06-30,1865513705.6,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
GOLDEN BRIDGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,46879223000171,2026-06-30,1299037542.35,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
RAIKKONEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53313856000183,2026-06-30,836729263.29,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
MTPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADO,49124193000181,2026-06-30,448998804.3,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
LEGACY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52967434000169,2026-06-30,387666560.82,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
IRÍDIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52609670000103,2026-06-30,375248099.18,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
REAG SPECIAL SITUATION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO,22945880000101,2026-06-30,373294620.65,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.
VIRAGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53415069000142,2026-06-30,354866009.84,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
FLYNN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54153227000104,2026-06-30,350412098.49,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
LOGAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51007736000122,2026-06-30,347366604.4,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
TERPSÍCORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57269975000137,2026-06-30,340747869.5,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
RINDT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51151251000108,2026-06-30,340029415.92,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
XENON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,54332890000168,2026-06-30,325645774.42,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VERZEKERING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53262924000122,2026-06-30,325638947.93,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
MANSELL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55823114000123,2026-06-30,307087718.71,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VANTAGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56945961000123,2026-06-30,301651532.94,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
QUORRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53848060000125,2026-06-30,290123577.84,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
BETEL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60617666000115,2026-06-30,271061173.93,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
FANGIO FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS,57268846000124,2026-06-30,268178931.02,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
NORFOLK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54349373000100,2026-06-30,266346654.9,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
URANO FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,54501301000128,2026-06-30,149657583.31,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
SSA FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,45703190000141,2026-06-30,146882997.02,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VENTURE FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54950304000149,2026-06-30,114139731.96,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
HILL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,41673465000190,2026-06-30,113834300.28,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
STARK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52609463000159,2026-06-30,98898451.15,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
VALKYRIES FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,54852109000186,2026-06-30,78632152.13,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
WILDE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,51030502000104,2026-06-30,73957952.08,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
AEDGER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,57377862000155,2026-06-30,61330271.7,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
ZANDVOORT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,57679175000194,2026-06-30,57433638.58,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
CIMITARRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS,23077181000150,2026-06-30,53912751.57,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
OTTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53247140000125,2026-06-30,53808264.47,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
MUFFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS,43740863000108,2026-06-30,50958000.23,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
ALENTEJO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42084488000122,2026-06-30,41797931.07,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
REAG MASTER FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41776150000179,2026-06-30,28914395.1,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG SPECIALTY FINANCE LTDA.
ENGELBERG 41 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,43809891000134,2026-06-30,25435999.04,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
EC CAPITAL MARKETS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60395009000170,2026-06-30,14313344.65,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
LC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,59035976000142,2026-06-30,11004577.19,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
SMASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,58528148000183,2026-06-30,9755252.75,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
FASHION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESP ILIMITADA,53848229000147,2026-06-30,8468782.14,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
HORTÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56052655000168,2026-06-30,6101516.97,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
VIVACE SHOPPING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60707793000105,2026-06-30,4072649.12,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
KOLEOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55201186000139,2026-06-30,19036.26,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
RR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,58528925000190,2026-06-30,-43551.81,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
REAG SPORTAINMENT CLAIMS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,52842504000152,2026-06-30,-72347.79,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,KUMB INVEST S.A.
AUER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62184290000128,2026-06-30,-214572.1,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
CHELSEA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,61289212000125,2026-06-30,-3224783.55,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG SPECIALTY FINANCE LTDA.
